,Country,Date,Number
374,United Kingdom,2020-04-13,88621
375,Netherlands,2020-04-14,27419
376,Poland,2020-04-14,7202
377,Sweden,2020-04-14,11445
378,Switzerland,2020-04-14,25936
379,United Kingdom,2020-04-14,93873
380,Netherlands,2020-04-15,28153
381,Poland,2020-04-15,7582
382,Sweden,2020-04-15,11927
383,Switzerland,2020-04-15,26336
384,United Kingdom,2020-04-15,98476
385,Netherlands,2020-04-16,29214
386,Poland,2020-04-16,7918
387,Sweden,2020-04-16,12540
388,Switzerland,2020-04-16,26732
389,United Kingdom,2020-04-16,103093
390,Netherlands,2020-04-17,30449
391,Poland,2020-04-17,8379
392,Sweden,2020-04-17,13216
393,Switzerland,2020-04-17,27078
394,United Kingdom,2020-04-17,108692
395,Netherlands,2020-04-18,31589
396,Poland,2020-04-18,8742
397,Sweden,2020-04-18,13822
398,Switzerland,2020-04-18,27404
399,United Kingdom,2020-04-18,114217
400,Netherlands,2020-04-19,32655
401,Poland,2020-04-19,9287
402,Sweden,2020-04-19,14385
403,Switzerland,2020-04-19,27740
404,United Kingdom,2020-04-19,120067
405,Netherlands,2020-04-20,33405
406,Poland,2020-04-20,9593
407,Sweden,2020-04-20,14777
408,Switzerland,2020-04-20,27944
409,United Kingdom,2020-04-20,124743
410,Netherlands,2020-04-21,34134
411,Poland,2020-04-21,9856
412,Sweden,2020-04-21,15322
413,Switzerland,2020-04-21,28063
414,United Kingdom,2020-04-21,129044
415,Netherlands,2020-04-22,34842
416,Poland,2020-04-22,10169
417,Sweden,2020-04-22,16004
418,Switzerland,2020-04-22,28268
419,United Kingdom,2020-04-22,133495
420,Netherlands,2020-04-23,35729
421,Poland,2020-04-23,10511
422,Sweden,2020-04-23,16755
423,Switzerland,2020-04-23,28496
424,United Kingdom,2020-04-23,138078
425,Netherlands,2020-04-24,36535
426,Poland,2020-04-24,10892
427,Sweden,2020-04-24,17567
428,Switzerland,2020-04-24,28677
429,United Kingdom,2020-04-24,143464
430,Netherlands,2020-04-25,37190
431,Poland,2020-04-25,11273
432,Sweden,2020-04-25,18177
433,Switzerland,2020-04-25,28894
434,United Kingdom,2020-04-25,148377
435,Netherlands,2020-04-26,37845
436,Poland,2020-04-26,11617
437,Sweden,2020-04-26,18640
438,Switzerland,2020-04-26,29061
439,United Kingdom,2020-04-26,152840
440,Netherlands,2020-04-27,38245
441,Poland,2020-04-27,11902
442,Sweden,2020-04-27,18926
443,Switzerland,2020-04-27,29164
444,United Kingdom,2020-04-27,157149
445,Netherlands,2020-04-28,38416
446,Poland,2020-04-28,12218
447,Sweden,2020-04-28,19621
448,Switzerland,2020-04-28,29264
449,United Kingdom,2020-04-28,161145
450,Netherlands,2020-04-29,38802
451,Poland,2020-04-29,12640
452,Sweden,2020-04-29,20302
453,Switzerland,2020-04-29,29407
454,United Kingdom,2020-04-29,165221
455,Netherlands,2020-04-30,39316
456,Poland,2020-04-30,12877
457,Sweden,2020-04-30,21092
458,Switzerland,2020-04-30,29586
459,United Kingdom,2020-04-30,171253
460,Netherlands,2020-05-01,39791
461,Poland,2020-05-01,13105
462,Sweden,2020-05-01,21520
463,Switzerland,2020-05-01,29705
464,United Kingdom,2020-05-01,177454
465,Netherlands,2020-05-02,40236
466,Poland,2020-05-02,13375
467,Sweden,2020-05-02,22082
468,Switzerland,2020-05-02,29817
469,United Kingdom,2020-05-02,182260
470,Netherlands,2020-05-03,40571
471,Poland,2020-05-03,13693
472,Sweden,2020-05-03,22317
473,Switzerland,2020-05-03,29905
474,United Kingdom,2020-05-03,186599
475,Netherlands,2020-05-04,40770
476,Poland,2020-05-04,14006
477,Sweden,2020-05-04,22721
478,Switzerland,2020-05-04,29981
479,United Kingdom,2020-05-04,190584
480,Netherlands,2020-05-05,41087
481,Poland,2020-05-05,14431
482,Sweden,2020-05-05,23216
483,Switzerland,2020-05-05,30009
484,United Kingdom,2020-05-05,194990
485,Netherlands,2020-05-06,41319
486,Poland,2020-05-06,14740
487,Sweden,2020-05-06,23918
488,Switzerland,2020-05-06,30060
489,United Kingdom,2020-05-06,201101
490,Netherlands,2020-05-07,41774
491,Poland,2020-05-07,15047
492,Sweden,2020-05-07,24623
493,Switzerland,2020-05-07,30126
494,United Kingdom,2020-05-07,206715
495,Netherlands,2020-05-08,42093
496,Poland,2020-05-08,15366
497,Sweden,2020-05-08,25265
498,Switzerland,2020-05-08,30207
499,United Kingdom,2020-05-08,211364
500,Netherlands,2020-05-09,42382
501,Poland,2020-05-09,15651
502,Sweden,2020-05-09,25921
503,Switzerland,2020-05-09,30251
504,United Kingdom,2020-05-09,215260
505,Netherlands,2020-05-10,42627
506,Poland,2020-05-10,15996
507,Sweden,2020-05-10,26322
508,Switzerland,2020-05-10,30305
509,United Kingdom,2020-05-10,219183
510,Netherlands,2020-05-11,42788
511,Poland,2020-05-11,16326
512,Sweden,2020-05-11,26670
513,Switzerland,2020-05-11,30344
514,United Kingdom,2020-05-11,223060
515,Netherlands,2020-05-12,42984
516,Poland,2020-05-12,16921
517,Sweden,2020-05-12,27272
518,Switzerland,2020-05-12,30380
519,United Kingdom,2020-05-12,226463
520,Netherlands,2020-05-13,43211
521,Poland,2020-05-13,17204
522,Sweden,2020-05-13,27909
523,Switzerland,2020-05-13,30413
524,United Kingdom,2020-05-13,229705
525,Netherlands,2020-05-14,43481
526,Poland,2020-05-14,17615
527,Sweden,2020-05-14,28582
528,Switzerland,2020-05-14,30463
529,United Kingdom,2020-05-14,233151
530,Netherlands,2020-05-15,43681
531,Poland,2020-05-15,18016
532,Sweden,2020-05-15,29207
533,Switzerland,2020-05-15,30514
534,United Kingdom,2020-05-15,236711
